Tiempo,Posición X,Posición Y,Posición Z,Objetivo X,Objetivo Y,Objetivo Z
5.5680000000000005,1.9999999999999576,18.00000000000012,2.0935524562119547,3.0,10.0,6.0
5.6000000000000005,1.9999999999999583,18.000000000000124,2.08794223909082,3.0,10.0,6.0
5.632,1.999999999999959,18.000000000000128,2.0825919595197786,3.0,10.0,6.0
5.664,1.9999999999999596,18.000000000000128,2.0775014972596884,3.0,10.0,6.0
5.696,1.9999999999999603,18.000000000000128,2.0726700834406353,3.0,10.0,6.0
5.728,1.999999999999961,18.000000000000128,2.0680963254725984,3.0,10.0,6.0
5.76,1.9999999999999616,18.000000000000128,2.06377823295108,3.0,10.0,6.0
5.792,1.9999999999999623,18.00000000000013,2.0597132444325967,3.0,10.0,6.0
5.824,1.9999999999999627,18.000000000000135,2.05589825495736,3.0,10.0,6.0
5.856,1.9999999999999631,18.00000000000014,2.0523296441992906,3.0,10.0,6.0
5.888,1.9999999999999636,18.000000000000142,2.04900330512665,3.0,10.0,6.0
5.92,1.999999999999964,18.000000000000146,2.0459146730600253,3.0,10.0,6.0
5.952,1.9999999999999647,18.00000000000015,2.043058755018097,3.0,10.0,6.0
5.984,1.9999999999999654,18.00000000000015,2.040430159245583,3.0,10.0,6.0
6.016,1.999999999999966,18.00000000000015,2.038023124821879,3.0,10.0,6.0
6.048,1.999999999999967,18.00000000000015,2.0358315512532443,3.0,10.0,6.0
6.08,1.9999999999999678,18.00000000000015,2.0338490279558328,3.0,10.0,6.0
6.112,1.9999999999999687,18.000000000000153,2.0320688635414403,3.0,10.0,6.0
6.144,1.9999999999999696,18.000000000000156,2.030484114822497,3.0,10.0,6.0
6.176,1.9999999999999705,18.00000000000016,2.029087615457547,3.0,10.0,6.0
6.208,1.9999999999999714,18.000000000000163,2.027872004163214,3.0,10.0,6.0
6.24,1.9999999999999722,18.000000000000167,2.026829752423417,3.0,10.0,6.0
6.272,1.999999999999973,18.00000000000017,2.0259531916313596,3.0,10.0,6.0
6.304,1.9999999999999736,18.00000000000017,2.0252345396045586,3.0,10.0,6.0
6.336,1.9999999999999742,18.00000000000017,2.024665926417869,3.0,10.0,6.0
6.368,1.9999999999999747,18.00000000000017,2.024239419504087,3.0,10.0,6.0
6.4,1.9999999999999751,18.00000000000017,2.0239470479762995,3.0,10.0,6.0
6.432,1.9999999999999756,18.00000000000017,2.023780826130594,3.0,10.0,6.0
6.464,1.9999999999999758,18.00000000000017,2.0237327760921544,3.0,10.0,6.0
6.496,1.999999999999976,18.000000000000174,2.0237949495720176,3.0,10.0,6.0
6.5280000000000005,1.9999999999999762,18.000000000000178,2.0239594487059382,3.0,10.0,6.0
6.5600000000000005,1.9999999999999765,18.00000000000018,2.02421844595084,3.0,10.0,6.0
6.5920000000000005,1.9999999999999765,18.000000000000185,2.024564203018235,3.0,10.0,6.0
6.6240000000000006,1.9999999999999765,18.000000000000185,2.02498908882777,3.0,10.0,6.0
6.656000000000001,1.9999999999999765,18.000000000000185,2.0254855964676963,3.0,10.0,6.0
6.688,1.9999999999999765,18.000000000000185,2.0260463591525357,3.0,10.0,6.0
6.72,1.9999999999999767,18.00000000000018,2.0266641651715855,3.0,10.0,6.0
6.752,1.999999999999977,18.000000000000178,2.027331971825094,3.0,10.0,6.0
6.784,1.9999999999999774,18.000000000000174,2.028042918347996,3.0,10.0,6.0
6.816,1.9999999999999778,18.000000000000174,2.0287903378240157,3.0,10.0,6.0
6.848,1.9999999999999782,18.000000000000174,2.0295677680956987,3.0,10.0,6.0
6.88,1.9999999999999787,18.000000000000174,2.030368961678555,3.0,10.0,6.0
6.912,1.9999999999999791,18.000000000000174,2.0311878946899746,3.0,10.0,6.0
6.944,1.9999999999999796,18.000000000000174,2.0320187748058953,3.0,10.0,6.0
6.976,1.99999999999998,18.000000000000174,2.0328560482604003,3.0,10.0,6.0
7.008,1.9999999999999805,18.000000000000178,2.033694405905471,3.0,10.0,6.0
7.04,1.999999999999981,18.00000000000018,2.0345287883500283,3.0,10.0,6.0
7.072,1.9999999999999813,18.000000000000185,2.035354390199181,3.0,10.0,6.0
7.104,1.999999999999982,18.00000000000019,2.0361666634162434,3.0,10.0,6.0
7.136,1.9999999999999827,18.00000000000019,2.036961319831602,3.0,10.0,6.0
7.168,1.9999999999999833,18.00000000000019,2.0377343328239013,3.0,10.0,6.0
7.2,1.999999999999984,18.00000000000019,2.0384819382002948,3.0,10.0,6.0
7.232,1.9999999999999847,18.00000000000019,2.0392006343036466,3.0,10.0,6.0
7.264,1.9999999999999856,18.00000000000019,2.039887181375607,3.0,10.0,6.0
7.296,1.9999999999999865,18.00000000000019,2.0405386002054007,3.0,10.0,6.0
7.328,1.9999999999999873,18.00000000000019,2.041152170094968,3.0,10.0,6.0
7.36,1.9999999999999882,18.000000000000192,2.0417254261718107,3.0,10.0,6.0
